MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
33.74070135,34836903855.0,33.2905094,42206965022.0,238000000000.0,65680836142.0,97643132512.0,1584871747.0,27342901240.0,19896425606.0,-1456151497.0,43901278356.0,15.71940132,13.78077572,133000000000.0,-0.041774359,316000000000.0,355000000000.0,19896425606.0,8.620471111
28.59435904,48794638366.0,29.33699076,23644775410.0,315000000000.0,66023841553.0,108000000000.0,18816049803.0,14593911735.0,6859220355.0,11754757749.0,26466603747.0,17.80844384,5.378802669,206000000000.0,0.240838556,376000000000.0,431000000000.0,2782048955.0,10.35040652
28.20937572,79030492585.0,30.52162264,189000000000.0,416000000000.0,109000000000.0,279000000000.0,5030739351.0,40931324710.0,22172791115.0,-2062898941.0,85633646844.0,14.64494952,8.555345123,356000000000.0,-0.02608388,836000000000.0,919000000000.0,22172791115.0,5.99057238
48.65735309,33203041829.0,47.86074372,24198524629.0,137000000000.0,76908508364.0,130000000000.0,6122484102.0,14503817035.0,27215258686.0,4564183448.0,21715417247.0,16.80880023,3.702288136,111000000000.0,0.137482215,239000000000.0,275000000000.0,26900342339.0,7.327081876
54.32241802,24555937397.0,54.89853197,15124454804.0,95766296677.0,46472447353.0,77416242008.0,12939820995.0,5411606105.0,1630390308.0,12115276060.0,12669923759.0,15.76334731,4.624015368,54207310854.0,0.493522085,150000000000.0,182000000000.0,-965968665.8,9.159384019
20.84369732,48364225591.0,20.28270616,131000000000.0,297000000000.0,62665387709.0,72978226651.0,24507844419.0,71702505311.0,6120153696.0,15932838293.0,34378487281.0,17.14094496,3.321692189,68356445854.0,0.329735584,445000000000.0,510000000000.0,6120153696.0,7.800844045
49.63540678,16545582101.0,49.58046594,7487676526.0,54103413289.0,22236660216.0,47657099701.0,9251639718.0,5607672239.0,17162124055.0,8660607664.0,13759518110.0,16.80880023,3.702288136,46510354142.0,0.523178574,84392191534.0,105000000000.0,5945763555.0,7.327081876
37.03,11713873070.0,37.02880227,32906656346.0,58343354315.0,15123740136.0,33138877176.0,2630683224.0,23471441131.0,8754767236.0,1927548659.0,10029183652.0,15.4,16.8,10501973925.0,0.1646,86067346585.0,99981223086.0,1746549689.0,6.31
94.5890896,9609938009.0,91.70131452,8009620608.0,16493984023.0,11564252260.0,57076246907.0,2553328100.0,8228175809.0,25567357523.0,2319377121.0,7466304807.0,15.36920566,15.85005197,29524738788.0,0.241360166,70400039481.0,81651942285.0,5099497523.0,6.267603963
51.45312772,17692721582.0,43.29599115,1909713138.0,16513978657.0,4832413157.0,3245814994.0,316988314.9,727784484.0,69240667.46,294432008.6,489810182.6,16.84214461,3.654642486,26891830.0,0.016614777,9222026798.0,27442983315.0,0.0,7.240996126
