iter	MultiClass
0	1.707399748
1	1.631517273
2	1.57163019
3	1.520976857
4	1.476277293
5	1.430656425
6	1.397119579
7	1.363824979
8	1.335009941
9	1.309073129
10	1.285117998
11	1.263361733
12	1.245670453
13	1.228082938
14	1.212018857
15	1.196037059
16	1.182635836
17	1.168825514
18	1.15621104
19	1.145783504
20	1.134880168
21	1.125310201
22	1.11818235
23	1.110666527
24	1.103740719
25	1.096067224
26	1.08829233
27	1.081017122
28	1.074717413
29	1.067466364
30	1.061977585
31	1.056657419
32	1.051102385
33	1.045864548
34	1.041398224
35	1.035799362
36	1.031234877
37	1.027000482
38	1.022327237
39	1.018054592
40	1.012701858
41	1.007958626
42	1.005040566
43	1.001247049
44	0.9976728356
45	0.9933101066
46	0.9903694869
47	0.9875355524
48	0.9836055871
49	0.9804441322
50	0.9772374667
51	0.9723579175
52	0.9697110029
53	0.9669866417
54	0.9637731796
55	0.9609563825
56	0.9581827651
57	0.9556099336
58	0.9540755473
59	0.9505504558
60	0.9479336657
61	0.9460865493
62	0.9438438011
63	0.9417275496
64	0.9379922356
65	0.9355825396
66	0.9331701676
67	0.9313055908
68	0.9297199748
69	0.9270348259
70	0.9243412911
71	0.9212418532
72	0.9184088947
73	0.9170265955
74	0.914778508
75	0.9124731719
76	0.9103705196
77	0.9081219529
78	0.906106947
79	0.903863158
80	0.9016213769
81	0.8991567279
82	0.8976108506
83	0.8960059018
84	0.8939736511
85	0.8922376364
86	0.8908475644
87	0.8895134688
88	0.8878522625
89	0.8866967445
90	0.8851754565
91	0.8832444036
92	0.8814726041
93	0.8803908115
94	0.8794824216
95	0.8776129376
96	0.8757966266
97	0.8737601369
98	0.8719240966
99	0.8696192838
100	0.8684430285
101	0.867286991
102	0.8651637965
103	0.8631729748
104	0.8609921935
105	0.8602239191
106	0.8592182874
107	0.8578495854
108	0.8564899908
109	0.8552493481
110	0.853243027
111	0.8516841121
112	0.850613556
113	0.849498599
114	0.8483816026
115	0.8473002623
116	0.84596204
117	0.843384055
118	0.8425754096
119	0.8411115471
120	0.8403441555
121	0.8386885914
122	0.8373075993
123	0.8355942482
124	0.8349804265
125	0.8339296912
126	0.8327176505
127	0.8315887956
128	0.8299586976
129	0.8290066145
130	0.8276638232
131	0.8270586691
132	0.8260026422
133	0.8248083951
134	0.8237992149
135	0.822966029
136	0.8219251643
137	0.8207029578
138	0.8192737609
139	0.8179999691
140	0.8165271065
141	0.8156400248
142	0.8146498632
143	0.8138186443
144	0.8125970599
145	0.8119113729
146	0.8105565498
147	0.8090155908
148	0.8077937255
149	0.8072761701
150	0.8059393331
151	0.804247818
152	0.8027741914
153	0.8013371117
154	0.8003961082
155	0.7991982622
156	0.7979151705
157	0.7965539882
158	0.7954788139
159	0.7946338408
160	0.793757255
161	0.7929027718
162	0.7922652643
163	0.7919017882
164	0.7914959278
165	0.7904729805
166	0.7889618628
167	0.7879402519
168	0.7861720755
169	0.7852863329
170	0.7845189789
171	0.7838881952
172	0.7830576653
173	0.7819298919
174	0.7810170913
175	0.7800745131
176	0.7797030137
177	0.7784853999
178	0.7774217643
179	0.7767468205
180	0.775627805
181	0.7749856865
182	0.7741314281
183	0.7733486113
184	0.7725604036
185	0.771739808
186	0.7706428914
187	0.7698097485
188	0.7692189761
189	0.7682714754
190	0.7675281253
191	0.7664947085
192	0.7656267203
193	0.7648861868
194	0.7640141343
195	0.7631534588
196	0.7616713505
197	0.7608187183
198	0.7604881591
199	0.7594833317
200	0.7585525696
201	0.7575023898
202	0.7557516811
203	0.7547962417
204	0.7538296661
205	0.7529466872
206	0.7522363578
207	0.7509112472
208	0.7499665034
209	0.7492648953
210	0.7484231165
211	0.7478840368
212	0.7473746746
213	0.7467578043
214	0.746089621
215	0.7457566735
216	0.7452578009
217	0.7441497992
218	0.7436573535
219	0.7426177473
220	0.7415714283
221	0.7404896962
222	0.7400342051
223	0.7393849788
224	0.7383848769
225	0.7374099696
226	0.7364789605
227	0.7356149782
228	0.7350035198
229	0.7344400734
230	0.7337204602
231	0.7330530385
232	0.7317627435
233	0.7306802955
234	0.7302230611
235	0.7293544291
236	0.7287574059
237	0.7283757333
238	0.7276694895
239	0.727104488
240	0.7265091451
241	0.7260432383
242	0.7253914709
243	0.7248893016
244	0.7244030058
245	0.7240245482
246	0.7233501147
247	0.7226862543
248	0.7223431576
249	0.7217744622
250	0.7208906944
251	0.7200496573
252	0.719336919
253	0.7191167834
254	0.7182889664
255	0.7178850033
256	0.7171575311
257	0.716802848
258	0.7160395368
259	0.7156391531
260	0.714932887
261	0.7140585279
262	0.7137128439
263	0.7129157928
264	0.7124788587
265	0.711790498
266	0.7111870822
267	0.7104267858
268	0.7099124382
269	0.7089901809
270	0.708261545
271	0.7076380141
272	0.7070308115
273	0.7062611333
274	0.7054361159
275	0.7048668446
276	0.7043630254
277	0.7037090835
278	0.7030626286
279	0.702510304
280	0.7022565615
281	0.7012045954
282	0.7006004005
283	0.7001625794
284	0.6997557708
285	0.6991639359
286	0.6987014161
287	0.6982035453
288	0.6973906584
289	0.6967891423
290	0.6962083914
291	0.695475648
292	0.694802816
293	0.6937247888
294	0.6929132485
295	0.6923428793
296	0.6917773092
297	0.6910929036
298	0.6903286575
299	0.6898718372
300	0.6891345622
301	0.6885108878
302	0.6879215121
303	0.6871141853
304	0.6865813032
305	0.6855770785
306	0.6850950073
307	0.6845994666
308	0.6837004439
309	0.6830455208
310	0.6827496524
311	0.6820030206
312	0.6812965255
313	0.6807019787
314	0.6804700792
315	0.6798052263
316	0.6792411327
317	0.6790909614
318	0.678237065
319	0.6776994672
320	0.6772094792
321	0.6767959547
322	0.6762596362
323	0.6757821836
324	0.675248064
325	0.6747486161
326	0.6743265303
327	0.6736965938
328	0.6733172557
329	0.6726142381
330	0.6722114485
331	0.6717836875
332	0.6711661229
333	0.6707299245
334	0.6701504497
335	0.6694410098
336	0.6691115648
337	0.668516024
338	0.6679516267
339	0.6675679828
340	0.6671966517
341	0.6665894498
342	0.6661712252
343	0.6655828995
344	0.6648517754
345	0.6644153849
346	0.6640950584
347	0.6635765841
348	0.662604015
349	0.6621816828
350	0.6617761179
351	0.6613994208
352	0.6608991024
353	0.660571829
354	0.6603972245
355	0.660113577
356	0.6599560463
357	0.6592686999
358	0.6590899754
359	0.658586409
360	0.6581046359
361	0.6575254979
362	0.656824259
363	0.6562249413
364	0.6559753607
365	0.655473609
366	0.6548829044
367	0.6546434
368	0.6541836195
369	0.6537063223
370	0.6532057348
371	0.6528018667
372	0.6523491357
373	0.6519556209
374	0.6513531621
375	0.6507506574
376	0.6501928964
377	0.64955619
378	0.6487513564
379	0.6482354783
380	0.6480597931
381	0.6475927747
382	0.6471697646
383	0.6468859679
384	0.6465615353
385	0.6463238769
386	0.6455872986
387	0.6453447779
388	0.6446413105
389	0.6441651136
390	0.6436427218
391	0.6430245244
392	0.642653251
393	0.642204382
394	0.6416237163
395	0.6411996035
396	0.640915313
397	0.6403769055
398	0.6400019173
399	0.6393488352
400	0.6390895077
401	0.6385906463
402	0.6380505598
403	0.6374433759
404	0.6370504947
405	0.6367358035
406	0.6363578731
407	0.6358324751
408	0.6356369273
409	0.6351047079
