iter	Passed	Remaining
0	70	70575
1	77	38539
2	83	27854
3	90	22543
4	97	19303
5	103	17115
6	109	15544
7	116	14402
8	122	13502
9	129	12785
10	135	12222
11	142	11704
12	149	11314
13	155	10938
14	161	10624
15	167	10329
16	174	10100
17	181	9894
18	187	9705
19	194	9537
20	201	9372
21	207	9218
22	214	9096
23	220	8973
24	226	8840
25	232	8724
26	238	8612
27	245	8507
28	251	8409
29	257	8315
30	263	8240
31	269	8161
32	275	8087
33	282	8025
34	288	7958
35	295	7902
36	301	7846
37	307	7788
38	313	7734
39	320	7683
40	326	7641
41	333	7598
42	339	7554
43	345	7509
44	351	7461
45	357	7416
46	363	7373
47	369	7328
48	375	7289
49	381	7248
50	387	7211
51	393	7177
52	399	7141
53	405	7106
54	411	7074
55	417	7043
56	423	7011
57	429	6981
58	435	6946
59	441	6916
60	447	6891
61	453	6862
62	459	6835
63	465	6807
64	471	6788
65	477	6763
66	484	6741
67	490	6718
68	496	6692
69	502	6672
70	508	6651
71	514	6631
72	520	6612
73	526	6584
74	532	6571
75	539	6553
76	544	6532
77	551	6516
78	557	6496
79	563	6482
80	569	6464
81	575	6447
82	582	6436
83	589	6430
84	596	6419
85	602	6404
86	608	6387
87	615	6373
88	621	6356
89	627	6340
90	633	6326
91	639	6312
92	645	6300
93	651	6282
94	658	6269
95	664	6260
96	671	6251
97	678	6244
98	686	6245
99	693	6237
100	699	6226
101	706	6216
102	712	6205
103	719	6200
104	726	6196
105	733	6185
106	739	6175
107	746	6163
108	752	6152
109	759	6142
110	765	6134
111	772	6126
112	779	6116
113	785	6105
114	792	6097
115	798	6086
116	805	6076
117	812	6069
118	818	6060
119	825	6051
120	831	6041
121	837	6030
122	844	6021
123	850	6011
124	857	6001
125	863	5989
126	869	5980
127	876	5973
128	883	5964
129	890	5956
130	897	5952
131	903	5942
132	910	5935
133	916	5925
134	923	5917
135	929	5906
136	935	5895
137	942	5887
138	949	5878
139	955	5870
140	962	5862
141	968	5853
142	975	5846
143	981	5837
144	988	5828
145	994	5819
146	1001	5813
147	1008	5805
148	1014	5796
149	1021	5789
150	1028	5779
151	1034	5772
152	1041	5764
153	1047	5757
154	1054	5748
155	1061	5741
156	1068	5735
157	1075	5729
158	1081	5721
159	1088	5713
160	1096	5712
161	1103	5707
162	1109	5698
163	1116	5689
164	1122	5681
165	1130	5680
166	1137	5673
167	1144	5667
168	1151	5662
169	1157	5653
170	1164	5643
171	1170	5634
172	1177	5626
173	1184	5621
174	1191	5616
175	1198	5613
176	1206	5609
177	1214	5606
178	1221	5604
179	1230	5607
180	1240	5612
181	1248	5612
182	1255	5605
183	1262	5599
184	1269	5591
185	1275	5581
186	1281	5571
187	1288	5566
188	1295	5558
189	1302	5551
