Date,Open,High,Low,Close,Volume
1/1/1980,4.137634,4.220697,3.916442,4,562219
1/2/1980,4.090162,4.347354,3.91807,4.099014,943731
1/3/1980,3.944401,4.182553,3.690338,4.007535,515416
1/4/1980,3.892403,4.273712,3.784376,3.987289,1692697
1/7/1980,3.881923,4.131012,3.676984,3.867048,485966
1/8/1980,3.661384,4.595115,3.431011,4.390812,295906
1/9/1980,4.308097,4.754337,4.188042,4.571042,1239674
1/10/1980,4.626055,4.717226,4.242592,4.4802,544413
1/11/1980,4.403193,4.779494,4.342094,4.692968,556313
1/14/1980,4.955947,5.160725,4.584145,4.815556,695028
1/15/1980,4.574218,4.725338,4.233262,4.291572,860247
1/16/1980,4.238319,4.496229,3.823599,4.037723,224587
1/17/1980,4.046419,4.245547,3.824191,4.181997,303059
1/18/1980,4.49087,4.829366,4.222676,4.671692,1223396
1/21/1980,4.439192,4.786307,4.288151,4.653959,514830
1/22/1980,4.788406,4.882464,4.265979,4.440644,529400
1/23/1980,4.562727,4.620522,4.389846,4.523921,380387
1/24/1980,4.536939,4.717793,4.047871,4.293729,159573
1/25/1980,4.348978,4.439008,4.07089,4.256221,582621
1/28/1980,3.957411,4.374534,3.742128,4.302172,2120845
1/29/1980,4.397556,4.610083,3.850676,3.934859,405948
1/30/1980,3.960036,4.4933,3.716463,4.231622,780666
1/31/1980,4.283852,4.463696,3.62044,3.915369,759892
2/1/1980,4.156751,4.432354,3.342986,3.466913,424867
2/4/1980,3.361532,3.688854,3.269287,3.475972,505440
2/5/1980,3.698169,3.88804,3.432015,3.747512,365777
2/6/1980,3.705536,4.077761,3.49114,3.848922,476166
2/7/1980,3.837147,4.083322,3.69561,3.864228,1962073
2/8/1980,3.659697,3.977467,3.56138,3.823897,721281
2/11/1980,3.913148,3.973397,3.602185,3.735705,925106
2/12/1980,3.814966,4.298029,3.565001,4.102842,1617468
2/13/1980,4.194234,4.520181,4.085355,4.250067,370278
2/14/1980,4.192907,4.345852,3.947569,4.084542,1056754
2/15/1980,4.193634,4.370933,3.85441,3.931466,966961
2/18/1980,3.954802,4.20313,3.820099,4.064968,217973
2/19/1980,4.006855,4.398281,3.853994,4.324268,792707
2/20/1980,4.291098,4.864876,4.207497,4.653652,528447
2/21/1980,4.734675,4.893118,4.216316,4.351887,634873
2/22/1980,4.153928,4.349071,3.883139,4.209123,270753
2/25/1980,3.980364,4.344932,3.750451,4.115371,3952562
2/26/1980,3.784293,4.246178,3.594611,4.109673,1203338
2/27/1980,4.182853,4.412234,3.940307,4.303431,578230
2/28/1980,4.227864,4.919617,4.005197,4.760303,848661
2/29/1980,4.813529,4.933484,4.633845,4.818794,272602
3/3/1980,5.097387,5.278246,4.516302,4.575258,437709
3/4/1980,4.35127,4.719448,4.057206,4.61451,2213357
3/5/1980,4.319514,5.381112,4.22065,5.133903,454212
3/6/1980,5.201685,5.464762,4.966457,5.210017,818549
3/7/1980,4.99808,5.353966,4.929598,5.170315,521849
3/10/1980,5.098631,5.379393,4.820734,5.154414,529797
3/11/1980,5.021871,5.330643,4.829397,5.211547,743880
3/12/1980,5.287509,5.524473,4.793554,4.918999,371035
3/13/1980,4.836871,4.895841,4.597724,4.718472,2114422
3/14/1980,4.917627,5.135482,4.787989,4.943093,2504085
3/17/1980,4.847514,5.177311,4.765611,5.091718,471639
3/18/1980,5.156862,5.390317,5.00898,5.070841,693147
3/19/1980,4.994438,5.454673,4.850723,5.311435,333822
3/20/1980,5.463369,5.577752,5.003983,5.150819,492205
3/21/1980,5.051822,5.280957,4.983848,5.10252,1983649
3/24/1980,5.027097,5.384007,4.928356,5.241356,533249
3/25/1980,5.344593,5.595867,5.20086,5.369673,415773
3/26/1980,5.292195,5.355164,4.87689,4.995062,369054
3/27/1980,4.90615,5.175322,4.677184,4.918868,1339537
3/28/1980,4.953912,5.107514,4.77737,4.920483,253894
3/31/1980,4.863726,5.168996,4.581713,4.991698,391288
4/1/1980,4.974298,5.141739,4.863024,5.018963,902427
4/2/1980,4.879868,5.243643,4.749248,5.046629,345092
4/3/1980,4.990513,5.200048,4.464254,4.520998,362783
